++++++++++++++++++++++++++++++++ 2.1 
-------------------------------- trazas/cc.trace --------------------------------
8192, Split, 128, 4, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
8192, Split, 128, 8, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
8192, Split, 128, 16, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
8192, Split, 128, 32, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
8192, Split, 128, 64, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
++++++++++++++++++++++++++++++++ 2.4a 
-------------------------------- trazas/cc.trace --------------------------------
8192, Split, 64, 2, WB, WNA, 23040, 22912, 17883, 6473, 474256, 39426, 0.9696, 0.9263
8192, Split, 64, 4, WB, WNA, 21095, 20967, 15259, 5221, 423104, 32102, 0.9721, 0.9371
8192, Split, 128, 2, WB, WNA, 17301, 17237, 19007, 8391, 824192, 78872, 0.9772, 0.9217
8192, Split, 128, 4, WB, WNA, 15819, 15755, 15919, 6515, 716736, 59292, 0.9791, 0.9344
16384, Split, 64, 2, WB, WNA, 12582, 12326, 11526, 2918, 252096, 24048, 0.9834, 0.9525
16384, Split, 64, 4, WB, WNA, 10468, 10212, 10276, 2096, 205120, 19588, 0.9862, 0.9577
16384, Split, 128, 2, WB, WNA, 10139, 10011, 11021, 3507, 440768, 40538, 0.9866, 0.9546
16384, Split, 128, 4, WB, WNA, 8305, 8177, 9785, 2618, 353632, 31103, 0.9890, 0.9597
32768, Split, 64, 2, WB, WNA, 6231, 5719, 8654, 1122, 125536, 16319, 0.9918, 0.9643
32768, Split, 64, 4, WB, WNA, 5166, 4654, 7989, 817, 103744, 14495, 0.9932, 0.9671
32768, Split, 128, 2, WB, WNA, 4523, 4267, 7235, 1232, 192320, 22196, 0.9940, 0.9702
32768, Split, 128, 4, WB, WNA, 3790, 3534, 6363, 822, 155776, 17477, 0.9950, 0.9738
8192, Split, 64, 2, WT, WNA, 23040, 22912, 17883, 6473, 474256, 94312, 0.9696, 0.9263
8192, Split, 64, 4, WT, WNA, 21095, 20967, 15259, 5221, 423104, 92940, 0.9721, 0.9371
8192, Split, 128, 2, WT, WNA, 17301, 17237, 19007, 8391, 824192, 93582, 0.9772, 0.9217
8192, Split, 128, 4, WT, WNA, 15819, 15755, 15919, 6515, 716736, 92370, 0.9791, 0.9344
16384, Split, 64, 2, WT, WNA, 12582, 12326, 11526, 2918, 252096, 91382, 0.9834, 0.9525
16384, Split, 64, 4, WT, WNA, 10468, 10212, 10276, 2096, 205120, 90954, 0.9862, 0.9577
16384, Split, 128, 2, WT, WNA, 10139, 10011, 11021, 3507, 440768, 90416, 0.9866, 0.9546
16384, Split, 128, 4, WT, WNA, 8305, 8177, 9785, 2618, 353632, 90069, 0.9890, 0.9597
32768, Split, 64, 2, WT, WNA, 6231, 5719, 8654, 1122, 125536, 90069, 0.9918, 0.9643
32768, Split, 64, 4, WT, WNA, 5166, 4654, 7989, 817, 103744, 89701, 0.9932, 0.9671
32768, Split, 128, 2, WT, WNA, 4523, 4267, 7235, 1232, 192320, 88778, 0.9940, 0.9702
32768, Split, 128, 4, WT, WNA, 3790, 3534, 6363, 822, 155776, 88315, 0.9950, 0.9738
-------------------------------- trazas/spice.trace --------------------------------
8192, Split, 64, 2, WB, WNA, 6590, 6462, 8638, 2726, 151104, 13624, 0.9916, 0.9602
8192, Split, 64, 4, WB, WNA, 6025, 5897, 5596, 553, 107296, 9219, 0.9923, 0.9742
8192, Split, 128, 2, WB, WNA, 5073, 5009, 9940, 3637, 280768, 32287, 0.9935, 0.9542
8192, Split, 128, 4, WB, WNA, 4273, 4209, 5858, 733, 162240, 13733, 0.9945, 0.9730
16384, Split, 64, 2, WB, WNA, 3006, 2750, 5449, 324, 57008, 8252, 0.9962, 0.9749
16384, Split, 64, 4, WB, WNA, 1924, 1668, 4984, 203, 38064, 7681, 0.9975, 0.9771
16384, Split, 128, 2, WB, WNA, 2490, 2362, 5388, 310, 93632, 9880, 0.9968, 0.9752
16384, Split, 128, 4, WB, WNA, 1665, 1537, 4893, 218, 64320, 9668, 0.9979, 0.9775
32768, Split, 64, 2, WB, WNA, 1317, 840, 4610, 82, 27696, 7316, 0.9983, 0.9788
32768, Split, 64, 4, WB, WNA, 855, 354, 4531, 36, 19856, 7137, 0.9989, 0.9791
32768, Split, 128, 2, WB, WNA, 1044, 797, 4508, 91, 42432, 8514, 0.9987, 0.9792
32768, Split, 128, 4, WB, WNA, 539, 284, 4314, 53, 25536, 8151, 0.9993, 0.9801
8192, Split, 64, 2, WT, WNA, 6590, 6462, 8638, 2726, 151104, 72322, 0.9916, 0.9602
8192, Split, 64, 4, WT, WNA, 6025, 5897, 5596, 553, 107296, 71453, 0.9923, 0.9742
8192, Split, 128, 2, WT, WNA, 5073, 5009, 9940, 3637, 280768, 72777, 0.9935, 0.9542
8192, Split, 128, 4, WT, WNA, 4273, 4209, 5858, 733, 162240, 71599, 0.9945, 0.9730
16384, Split, 64, 2, WT, WNA, 3006, 2750, 5449, 324, 57008, 71430, 0.9962, 0.9749
16384, Split, 64, 4, WT, WNA, 1924, 1668, 4984, 203, 38064, 71067, 0.9975, 0.9771
16384, Split, 128, 2, WT, WNA, 2490, 2362, 5388, 310, 93632, 71490, 0.9968, 0.9752
16384, Split, 128, 4, WT, WNA, 1665, 1537, 4893, 218, 64320, 71086, 0.9979, 0.9775
32768, Split, 64, 2, WT, WNA, 1317, 840, 4610, 82, 27696, 70734, 0.9983, 0.9788
32768, Split, 64, 4, WT, WNA, 855, 354, 4531, 36, 19856, 70683, 0.9989, 0.9791
32768, Split, 128, 2, WT, WNA, 1044, 797, 4508, 91, 42432, 70764, 0.9987, 0.9792
32768, Split, 128, 4, WT, WNA, 539, 284, 4314, 53, 25536, 70593, 0.9993, 0.9801
-------------------------------- trazas/tex.trace --------------------------------
8192, Split, 64, 2, WB, WNA, 20, 0, 30031, 32, 2880, 29903, 1.0000, 0.8723
8192, Split, 64, 4, WB, WNA, 20, 0, 30058, 59, 3312, 29903, 1.0000, 0.8722
8192, Split, 128, 2, WB, WNA, 13, 0, 29967, 32, 3488, 29935, 1.0000, 0.8726
8192, Split, 128, 4, WB, WNA, 13, 0, 29985, 50, 4064, 29935, 1.0000, 0.8725
16384, Split, 64, 2, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
16384, Split, 64, 4, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
16384, Split, 128, 2, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
16384, Split, 128, 4, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
32768, Split, 64, 2, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
32768, Split, 64, 4, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
32768, Split, 128, 2, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
32768, Split, 128, 4, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
8192, Split, 64, 2, WT, WNA, 20, 0, 30031, 32, 2880, 134384, 1.0000, 0.8723
8192, Split, 64, 4, WT, WNA, 20, 0, 30058, 59, 3312, 134384, 1.0000, 0.8722
8192, Split, 128, 2, WT, WNA, 13, 0, 29967, 32, 3488, 134384, 1.0000, 0.8726
8192, Split, 128, 4, WT, WNA, 13, 0, 29985, 50, 4064, 134384, 1.0000, 0.8725
16384, Split, 64, 2, WT, WNA, 20, 0, 29995, 0, 2464, 134374, 1.0000, 0.8725
16384, Split, 64, 4, WT, WNA, 20, 0, 29995, 0, 2464, 134374, 1.0000, 0.8725
16384, Split, 128, 2, WT, WNA, 13, 0, 29931, 0, 2656, 134374, 1.0000, 0.8727
16384, Split, 128, 4, WT, WNA, 13, 0, 29931, 0, 2656, 134374, 1.0000, 0.8727
32768, Split, 64, 2, WT, WNA, 20, 0, 29995, 0, 2464, 134374, 1.0000, 0.8725
32768, Split, 64, 4, WT, WNA, 20, 0, 29995, 0, 2464, 134374, 1.0000, 0.8725
32768, Split, 128, 2, WT, WNA, 13, 0, 29931, 0, 2656, 134374, 1.0000, 0.8727
32768, Split, 128, 4, WT, WNA, 13, 0, 29931, 0, 2656, 134374, 1.0000, 0.8727
++++++++++++++++++++++++++++++++ 2.4b 
-------------------------------- trazas/cc.trace --------------------------------
8192, Split, 64, 2, WB, WA, 23040, 22912, 7521, 7393, 488976, 41840, 0.9696, 0.9690
8192, Split, 64, 4, WB, WA, 21095, 20967, 6118, 5990, 435408, 33216, 0.9721, 0.9748
8192, Split, 128, 2, WB, WA, 17301, 17237, 9225, 9161, 848832, 91744, 0.9772, 0.9620
8192, Split, 128, 4, WB, WA, 15819, 15755, 7232, 7168, 737632, 68384, 0.9791, 0.9702
16384, Split, 64, 2, WB, WA, 12582, 12326, 3746, 3490, 261248, 23584, 0.9834, 0.9846
16384, Split, 64, 4, WB, WA, 10468, 10212, 2793, 2537, 212176, 18208, 0.9862, 0.9885
16384, Split, 128, 2, WB, WA, 10139, 10011, 4106, 3978, 455840, 46048, 0.9866, 0.9831
16384, Split, 128, 4, WB, WA, 8305, 8177, 3051, 2923, 363392, 32512, 0.9890, 0.9874
32768, Split, 64, 2, WB, WA, 6231, 5719, 1966, 1457, 131152, 14272, 0.9918, 0.9919
32768, Split, 64, 4, WB, WA, 5166, 4654, 1629, 1117, 108720, 12304, 0.9932, 0.9933
32768, Split, 128, 2, WB, WA, 4523, 4267, 1723, 1467, 199872, 22400, 0.9940, 0.9929
32768, Split, 128, 4, WB, WA, 3790, 3534, 1244, 988, 161088, 16544, 0.9950, 0.9949
8192, Split, 64, 2, WB, WNA, 23040, 22912, 17883, 6473, 474256, 39426, 0.9696, 0.9263
8192, Split, 64, 4, WB, WNA, 21095, 20967, 15259, 5221, 423104, 32102, 0.9721, 0.9371
8192, Split, 128, 2, WB, WNA, 17301, 17237, 19007, 8391, 824192, 78872, 0.9772, 0.9217
8192, Split, 128, 4, WB, WNA, 15819, 15755, 15919, 6515, 716736, 59292, 0.9791, 0.9344
16384, Split, 64, 2, WB, WNA, 12582, 12326, 11526, 2918, 252096, 24048, 0.9834, 0.9525
16384, Split, 64, 4, WB, WNA, 10468, 10212, 10276, 2096, 205120, 19588, 0.9862, 0.9577
16384, Split, 128, 2, WB, WNA, 10139, 10011, 11021, 3507, 440768, 40538, 0.9866, 0.9546
16384, Split, 128, 4, WB, WNA, 8305, 8177, 9785, 2618, 353632, 31103, 0.9890, 0.9597
32768, Split, 64, 2, WB, WNA, 6231, 5719, 8654, 1122, 125536, 16319, 0.9918, 0.9643
32768, Split, 64, 4, WB, WNA, 5166, 4654, 7989, 817, 103744, 14495, 0.9932, 0.9671
32768, Split, 128, 2, WB, WNA, 4523, 4267, 7235, 1232, 192320, 22196, 0.9940, 0.9702
32768, Split, 128, 4, WB, WNA, 3790, 3534, 6363, 822, 155776, 17477, 0.9950, 0.9738
-------------------------------- trazas/spice.trace --------------------------------
8192, Split, 64, 2, WB, WA, 6590, 6462, 3160, 3032, 156000, 18880, 0.9916, 0.9855
8192, Split, 64, 4, WB, WA, 6025, 5897, 875, 747, 110400, 7296, 0.9923, 0.9960
8192, Split, 128, 2, WB, WA, 5073, 5009, 4039, 3975, 291584, 36256, 0.9935, 0.9814
8192, Split, 128, 4, WB, WA, 4273, 4209, 1075, 1011, 171136, 14592, 0.9945, 0.9951
16384, Split, 64, 2, WB, WA, 3006, 2750, 735, 500, 59856, 6208, 0.9962, 0.9966
16384, Split, 64, 4, WB, WA, 1924, 1668, 559, 306, 39728, 5280, 0.9975, 0.9974
16384, Split, 128, 2, WB, WA, 2490, 2362, 604, 478, 99008, 9088, 0.9968, 0.9972
16384, Split, 128, 4, WB, WA, 1665, 1537, 407, 280, 66304, 7200, 0.9979, 0.9981
32768, Split, 64, 2, WB, WA, 1317, 840, 478, 132, 28720, 4608, 0.9983, 0.9978
32768, Split, 64, 4, WB, WA, 855, 354, 443, 76, 20768, 4352, 0.9989, 0.9980
32768, Split, 128, 2, WB, WA, 1044, 797, 326, 132, 43840, 5952, 0.9987, 0.9985
32768, Split, 128, 4, WB, WA, 539, 284, 289, 82, 26496, 5376, 0.9993, 0.9987
8192, Split, 64, 2, WB, WNA, 6590, 6462, 8638, 2726, 151104, 13624, 0.9916, 0.9602
8192, Split, 64, 4, WB, WNA, 6025, 5897, 5596, 553, 107296, 9219, 0.9923, 0.9742
8192, Split, 128, 2, WB, WNA, 5073, 5009, 9940, 3637, 280768, 32287, 0.9935, 0.9542
8192, Split, 128, 4, WB, WNA, 4273, 4209, 5858, 733, 162240, 13733, 0.9945, 0.9730
16384, Split, 64, 2, WB, WNA, 3006, 2750, 5449, 324, 57008, 8252, 0.9962, 0.9749
16384, Split, 64, 4, WB, WNA, 1924, 1668, 4984, 203, 38064, 7681, 0.9975, 0.9771
16384, Split, 128, 2, WB, WNA, 2490, 2362, 5388, 310, 93632, 9880, 0.9968, 0.9752
16384, Split, 128, 4, WB, WNA, 1665, 1537, 4893, 218, 64320, 9668, 0.9979, 0.9775
32768, Split, 64, 2, WB, WNA, 1317, 840, 4610, 82, 27696, 7316, 0.9983, 0.9788
32768, Split, 64, 4, WB, WNA, 855, 354, 4531, 36, 19856, 7137, 0.9989, 0.9791
32768, Split, 128, 2, WB, WNA, 1044, 797, 4508, 91, 42432, 8514, 0.9987, 0.9792
32768, Split, 128, 4, WB, WNA, 539, 284, 4314, 53, 25536, 8151, 0.9993, 0.9801
-------------------------------- trazas/tex.trace --------------------------------
8192, Split, 64, 2, WB, WA, 20, 0, 961, 833, 15696, 7664, 1.0000, 0.9959
8192, Split, 64, 4, WB, WA, 20, 0, 943, 815, 15408, 7568, 1.0000, 0.9960
8192, Split, 128, 2, WB, WA, 13, 0, 566, 502, 18528, 8608, 1.0000, 0.9976
8192, Split, 128, 4, WB, WA, 13, 0, 476, 412, 15648, 7648, 1.0000, 0.9980
16384, Split, 64, 2, WB, WA, 20, 0, 711, 455, 11696, 7616, 1.0000, 0.9970
16384, Split, 64, 4, WB, WA, 20, 0, 635, 379, 10480, 7568, 1.0000, 0.9973
16384, Split, 128, 2, WB, WA, 13, 0, 415, 287, 13696, 8256, 1.0000, 0.9982
16384, Split, 128, 4, WB, WA, 13, 0, 337, 209, 11200, 7648, 1.0000, 0.9986
32768, Split, 64, 2, WB, WA, 20, 0, 611, 121, 10096, 7568, 1.0000, 0.9974
32768, Split, 64, 4, WB, WA, 20, 0, 602, 94, 9952, 7536, 1.0000, 0.9974
32768, Split, 128, 2, WB, WA, 13, 0, 337, 92, 11200, 7904, 1.0000, 0.9986
32768, Split, 128, 4, WB, WA, 13, 0, 304, 50, 10144, 7584, 1.0000, 0.9987
8192, Split, 64, 2, WB, WNA, 20, 0, 30031, 32, 2880, 29903, 1.0000, 0.8723
8192, Split, 64, 4, WB, WNA, 20, 0, 30058, 59, 3312, 29903, 1.0000, 0.8722
8192, Split, 128, 2, WB, WNA, 13, 0, 29967, 32, 3488, 29935, 1.0000, 0.8726
8192, Split, 128, 4, WB, WNA, 13, 0, 29985, 50, 4064, 29935, 1.0000, 0.8725
16384, Split, 64, 2, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
16384, Split, 64, 4, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
16384, Split, 128, 2, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
16384, Split, 128, 4, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
32768, Split, 64, 2, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
32768, Split, 64, 4, WB, WNA, 20, 0, 29995, 0, 2464, 29909, 1.0000, 0.8725
32768, Split, 128, 2, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
32768, Split, 128, 4, WB, WNA, 13, 0, 29931, 0, 2656, 29957, 1.0000, 0.8727
